//------------------------------------------------------------------------------
//--  Generated by TunerStudio 
//--  Date: 1-24-2024
//--  Time: 18:27
//--  This file merely records what was sent to your Controller,        
//--  and may be deleted at any time.                                                    
//--  Selected type: Air Temperature Sensor 
//------------------------------------------------------------------------------

//-- generated using refTable Generator:thermGenerator
//-- Table Identifier:001//--    Generated by ThermTableGenerator using user input values. 
//--    Bias Resistor value: 2490 Ohms
//--    Temperature1: 100(C), 	Resistance 1: 187 Ohms 
//--    Temperature2: 50(C), 	Resistance 2: 834 Ohms 
//--    Temperature3: 0(C), 	Resistance 3: 5896 Ohms 
//-- 

//----------------------------------------------------------//
ADC 	Value 	MSVal 	volts
789	18.19	182 	3.853
790	17.98	180 	3.857
791	17.76	178 	3.862
792	17.55	176 	3.867
793	17.34	173 	3.872
794	17.12	171 	3.877
795	16.91	169 	3.882
796	16.70	167 	3.887
797	16.48	165 	3.892
798	16.26	163 	3.896
799	16.05	160 	3.901
800	15.83	158 	3.906
801	15.61	156 	3.911
802	15.40	154 	3.916
803	15.18	152 	3.921
804	14.96	150 	3.926
805	14.74	147 	3.931
806	14.52	145 	3.936
807	14.30	143 	3.940
808	14.07	141 	3.945
809	13.85	139 	3.950
810	13.63	136 	3.955
811	13.41	134 	3.960
812	13.18	132 	3.965
813	12.96	130 	3.970
814	12.73	127 	3.975
815	12.51	125 	3.979
816	12.28	123 	3.984
817	12.05	121 	3.989
818	11.83	118 	3.994
819	11.60	116 	3.999
820	11.37	114 	4.004
821	11.14	111 	4.009
822	10.91	109 	4.014
823	10.68	107 	4.019
824	10.45	104 	4.023
825	10.21	102 	4.028
826	9.98	100 	4.033
827	9.75	97 	4.038
828	9.51	95 	4.043
829	9.28	93 	4.048
830	9.04	90 	4.053
831	8.80	88 	4.058
832	8.57	86 	4.063
833	8.33	83 	4.067
834	8.09	81 	4.072
835	7.85	78 	4.077
836	7.61	76 	4.082
837	7.37	74 	4.087
838	7.13	71 	4.092
839	6.88	69 	4.097
840	6.64	66 	4.102
841	6.39	64 	4.106
842	6.15	61 	4.111
843	5.90	59 	4.116
844	5.65	57 	4.121
845	5.41	54 	4.126
846	5.16	52 	4.131
847	4.91	49 	4.136
848	4.66	47 	4.141
849	4.40	44 	4.146
850	4.15	42 	4.150
851	3.90	39 	4.155
852	3.64	36 	4.160
853	3.39	34 	4.165
854	3.13	31 	4.170
855	2.87	29 	4.175
856	2.61	26 	4.180
857	2.35	24 	4.185
858	2.09	21 	4.189
